Title,Status,# Rooms,Area,# Car Spots,Condominium Fee,City,Neighborhood,Price,Description,URL
33,House_AD,For sale,3,192m²,3,R$ 1.500,Recife,Poço,R$ 1.549.900.,"House in Poço, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-tem-192-metros-quadrados-com-3-quartos-em-poco-recife-pe-997761201
34,House_AD,For rent,5,345m²,5,,Jaboatão dos Guararapes,Piedade,R$ 12.000.,"House in Piedade, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/casa-30-metros-da-praia-de-piedade-proximo-a-aeronautica-982843279
35,House_AD,For sale,,48m²,,R$ 996,Recife,Boa Viagem,R$ 249.999.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-com-48-metros-quadrados-com-1-quarto-em-boa-viagem-recife-pe-1006480506
36,House_AD,For sale,4,163m²,2,R$ 1.470,Recife,Boa Viagem,R$ 650.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/oportunidade-incrivel-4-qts-e-1-st-163m-em-boa-viagem-r-600-000-00-995436237
37,House_AD,For sale,3,90m²,2,R$ 0,Recife,Várzea,R$ 240.000.,"House in Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-no-inicio-da-afonso-olindense-1001399805
38,House_AD,For sale,3,107m²,,R$ 600,Recife,Campo Grande,R$ 299.900.,"House in Campo Grande, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-tem-107-metros-quadrados-com-3-quartos-em-campo-grande-recife-p-993055945
39,House_AD,For sale,2,138m²,2,R$ 1.050,Recife,Boa Viagem,R$ 680.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apto-edf-saint-vincent-proximo-aos-colegios-santa-maria-e-boa-viagem-982843367
40,House_AD,For rent,4,145m²,2,R$ 1.000,Recife,Aflitos,R$ 3.500.,"House in Aflitos, Recife",https://pe.olx.com.br/grande-recife/imoveis/ed-saint-bernard-985073743
41,House_AD,For sale,,,,,Recife,Boa Viagem,R$ 349.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/em-uma-das-areas-mais-valorizadas-1qt-mobiliado-1015455797
42,House_AD,For sale,4,247m²,3,R$ 1.400,Recife,São José,R$ 2.100.000.,"House in São José, Recife",https://pe.olx.com.br/grande-recife/imoveis/pier-duarte-coelho-de-242-m2-com-4-suites-3-vagas-andar-alto-em-sao-jose-990689737
43,House_AD,,,22m²,,R$ 0,Recife,Espinheiro,R$ 1.550.,"House in Espinheiro, Recife",https://pe.olx.com.br/grande-recife/comercio-e-industria/sala-para-alugar-22-m-por-r-1-550-00-mes-espinheiro-recife-pe-1003870528
44,House_AD,For sale,3,167m²,2,R$ 1.100,Recife,Boa Viagem,R$ 1.150.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/3-quartos-com-vista-mar-996110072
45,House_AD,For sale,3,105m²,,R$ 160,Olinda,Bairro Novo,R$ 230.000.,"House in Bairro Novo, Olinda",https://pe.olx.com.br/grande-recife/imoveis/bairro-novo-otimo-local-a-metros-do-shopping-patteo-926448058
46,House_AD,For sale,3,105m²,,R$ 160,Olinda,Bairro Novo,R$ 230.000.,"House in Bairro Novo, Olinda",https://pe.olx.com.br/grande-recife/imoveis/bairro-novo-otimo-local-a-metros-do-shopping-patteo-926448058
47,House_AD,For sale,4,110m²,4,R$ 1.090,Gravatá,Santana,R$ 260.000.,"House in Santana, Gravatá",https://pe.olx.com.br/grande-recife/imoveis/casa-04-quartos-otima-localizacao-jardim-com-uma-linda-arvore-a-venda-110-m-por-973388531
48,House_AD,For sale,3,160m²,4,R$ 306,Gravatá,Alpes Suiços,R$ 498.000.,"House in Alpes Suiços, Gravatá",https://pe.olx.com.br/grande-recife/imoveis/casa-de-campo-condominio-fechado-area-gourmet-com-3-quartos-a-venda-160-m-por-r-941090483
49,House_AD,For sale,2,72m²,,,Santa Cruz do Capibaribe,Bela Vista,R$ 90.000.,"House in Bela Vista, Santa Cruz do Capibaribe",https://pe.olx.com.br/grande-recife/imoveis/casa-para-venda-com-72-metros-quadrados-com-2-quartos-em-bela-vista-santa-cruz-do-capiba-934622104
50,House_AD,,,360m²,,,Jaboatão dos Guararapes,Prazeres,Item sem valor cadastrado.,"House in Prazeres, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/comercio-e-industria/galpao-em-jardim-prazeres-969949273
51,House_AD,For sale,2,100m²,,R$ 120,Recife,San Martin,R$ 290.000.,"House in San Martin, Recife",https://pe.olx.com.br/grande-recife/imoveis/casa-em-condominio-para-venda-com-100m-em-san-martin-recife-pe-988699518
52,House_AD,For sale,3,62m²,,R$ 0,Jaboatão dos Guararapes,Candeias,R$ 65.000.,"House in Candeias, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/apto-terreo-3-quartos-piedade-life-repasse-65mil-parcelas-de-r-1300-942169581
53,House_AD,For sale,2,45m²,,R$ 165,Paulista,Janga,R$ 120.000.,"House in Janga, Paulista",https://pe.olx.com.br/grande-recife/imoveis/janga-quinta-do-sol-com-2-quartos-964490455
54,House_AD,For sale,2,67m²,,R$ 0,Caruaru,Maurício de Nassau,R$ 300.000.,"House in Maurício de Nassau, Caruaru",https://pe.olx.com.br/grande-recife/imoveis/apartamento-com-02-quartos-sendo-1-suite-no-centro-de-caruaru-pernambuco-1003581154
55,House_AD,For rent,2,,,,Camaragibe,Santa Mônica,R$ 700.,"House in Santa Mônica, Camaragibe",https://pe.olx.com.br/grande-recife/imoveis/aluguel-de-apartamento-1015455345
56,House_AD,For sale,3,67m²,,R$ 1,Recife,Torre,R$ 455.000.,"House in Torre, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-a-venda-na-torre-recife-3-quartos-1ste-67m-1-vagas-nascente-lazer-comp-994831076
57,House_AD,,,40m²,,R$ 150,Recife,Iputinga,R$ 150.000.,"House in Iputinga, Recife",https://pe.olx.com.br/grande-recife/comercio-e-industria/recife-sala-comercial-cordeiro-987786702
58,House_AD,For sale,3,83m²,2,R$ 550,Recife,Boa Viagem,R$ 700.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-a-venda-em-boa-viagem-recife-3-quartos-1ste-83m-alto-nascente-projetad-994753728
59,House_AD,For sale,3,130m²,5,,Jaboatão dos Guararapes,Piedade,R$ 450.000.,"House in Piedade, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/casa-em-piedade-na-rua-professor-jorge-cahu-em-jaboatao-dos-guararapes-957562680
60,House_AD,For sale,3,71m²,,R$ 1,Recife,Várzea,R$ 392.800.,"House in Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-a-venda-na-cidade-universitaria-recife-3-quartos-2stes-varanda-gourmet-71-994830790
61,House_AD,For sale,3,57m²,,,Recife,Encruzilhada,R$ 309.999.,"House in Encruzilhada, Recife",https://pe.olx.com.br/grande-recife/imoveis/mt-edf-forte-de-sao-francisco-nascente-moveis-fixos-3-quartos-1-suite-57m-1-vaga-1015455191
62,House_AD,For sale,5,330m²,4,R$ 400,Cabo de Santo Agostinho,Garapu,R$ 290.000.,"House in Garapu, Cabo de Santo Agostinho",https://pe.olx.com.br/grande-recife/imoveis/duas-casas-garapu-cabo-pe-982566188
63,House_AD,,,20m²,,R$ 470,Recife,Boa Viagem,R$ 130.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/comercio-e-industria/consultorio-para-venda-com-20-metros-quadrados-em-boa-viagem-recife-ao-lado-shopping-r-981419641
64,House_AD,For sale,4,234m²,3,R$ 1.460,Recife,Monteiro,R$ 1.790.000.,"House in Monteiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/alto-nivel-md-rara-oportunidade234-00-m-4-quartos-4-suites--3-vagas-2-salas-par-976085142
65,House_AD,For sale,3,98m²,2,R$ 1.150,Recife,Madalena,R$ 530.000.,"House in Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-com-3-quartos-1-suite-a-venda-98-m-por-r-530-000-madalena-recife-pe-976225104
66,House_AD,For sale,4,210m²,3,R$ 0,Paulista,Nossa Senhora do Ó,R$ 700.000.,"House in Nossa Senhora do Ó, Paulista",https://pe.olx.com.br/grande-recife/imoveis/casa-com-4-quartos-210-m-venda-por-r-700-000-ou-aluguel-por-r-4-000-mes-nossa-senh-966963085
67,House_AD,For sale,,30m²,,R$ 0,Recife,Boa Viagem,R$ 235.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-tem-30-metros-quadrados-com-1-quarto-em-boa-viagem-recife-perna-1003346746
68,House_AD,For sale,3,64m²,,R$ 420,Recife,Barro,R$ 345.000.,"House in Barro, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-venda-com-64-metros-quadrados-com-3-quartos-em-barro-recife-pe-993652203
69,House_AD,For rent,4,184m²,3,R$ 0,Recife,Boa Viagem,R$ 12.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-com-4-dormitorios-184-m-venda-por-r-2-500-000-00-ou-aluguel-por-r-12-000-1005668758
70,House_AD,For sale,,35m²,,R$ 527,Recife,Madalena,R$ 249.000.,"House in Madalena, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-com-1-dormitorio-a-venda-35-m-por-r-249-000-madalena-recife-pe-992218049
71,House_AD,For sale,4,300m²,4,R$ 0,Camaragibe,Aldeia dos Camarás,R$ 780.000.,"House in Aldeia dos Camarás, Camaragibe",https://pe.olx.com.br/grande-recife/imoveis/aldeia-casa-em-condominio-929158121
72,House_AD,For rent,3,98m²,,R$ 0,Olinda,Bairro Novo,R$ 1.400.,"House in Bairro Novo, Olinda",https://pe.olx.com.br/grande-recife/imoveis/apartamento-para-alugar-98-m-por-r-1-400-00-mes-bairro-novo-olinda-pe-919443505
