Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
157,For sale,4.0,136.0,2.0,1100.0,Recife,Espinheiro,1020000.0
158,For rent,3.0,80.0,2.0,0.0,Recife,Boa Viagem,6200.0
159,For sale,,32.0,,294.0,Ipojuca,Nossa Senhora do Ó,350000.0
160,For sale,,,,,Recife,Madalena,299500.0
161,For sale,,35.0,,0.0,Recife,Tamarineira,300000.0
162,For sale,4.0,145.0,2.0,0.0,Recife,Boa Viagem,650000.0
163,For sale,4.0,200.0,3.0,1900.0,Recife,Monteiro,980000.0
164,For sale,4.0,221.0,2.0,0.0,Recife,Boa Viagem,1650000.0
165,For sale,3.0,180.0,2.0,0.0,Olinda,Jardim Atlântico,750000.0
166,For sale,5.0,200.0,,0.0,Olinda,Ouro Preto,495000.0
167,For sale,3.0,67.0,,560.0,Recife,Espinheiro,531186.0
168,,,130.0,,,Recife,Boa Vista,1200000.0
169,,,46.0,,0.0,Recife,Boa Viagem,4800.0
170,For sale,3.0,86.0,2.0,0.0,Recife,Boa Viagem,837219.0
171,For sale,3.0,80.0,2.0,500.0,Recife,Boa Viagem,650000.0
172,For sale,3.0,85.0,2.0,,Recife,Rosarinho,529925.0
173,For sale,3.0,110.0,,650.0,Recife,Santo Amaro,390000.0
174,For sale,3.0,84.0,,0.0,Recife,Torre,550000.0
175,For sale,4.0,,,,Olinda,Casa Caiada,759999.0
176,For sale,3.0,85.0,2.0,600.0,Recife,Boa Viagem,525000.0
177,For sale,4.0,132.0,2.0,900.0,Recife,Boa Viagem,1390000.0
178,For sale,4.0,135.0,2.0,1620.0,Recife,Boa Viagem,1040000.0
179,For sale,4.0,112.0,2.0,0.0,Recife,Torre,800000.0
180,For sale,4.0,223.0,5.0,1900.0,Recife,Rosarinho,1300000.0
181,For sale,2.0,120.0,,,Vitória de Santo Antão,Matriz,140000.0
182,,,1800.0,,0.0,Jaboatão dos Guararapes,Piedade,25000.0
183,,,41.0,,602.0,Recife,Parnamirim,270000.0
184,For sale,3.0,115.0,,180.0,Jaboatão dos Guararapes,Piedade,300000.0
185,For rent,,45.0,,0.0,Recife,Boa Viagem,2500.0
186,For sale,2.0,50.0,,0.0,Recife,Iputinga,263126.0
187,For sale,4.0,218.0,3.0,0.0,Recife,Pina,3000000.0
188,For rent,3.0,150.0,2.0,0.0,Jaboatão dos Guararapes,Candeias,1400.0
189,,,151.0,,2050.0,Recife,Boa Viagem,7500.0
190,For sale,3.0,96.0,,970.0,Recife,Aflitos,350000.0
191,For sale,4.0,345.0,5.0,,Camaragibe,Aldeia dos Camarás,850000.0
192,For rent,,51.0,2.0,0.0,Recife,Santana,2200.0
193,For sale,4.0,253.0,3.0,2780.0,Cabo de Santo Agostinho,Paiva,2700000.0
194,For rent,,32.0,,0.0,Recife,Boa Viagem,145.0
195,For sale,2.0,57.0,,0.0,Igarassu,Cruz do Rebouças,150000.0
196,For sale,4.0,160.0,2.0,0.0,Olinda,Bairro Novo,450000.0
197,For sale,2.0,,,,Recife,Torre,289000.0
198,For sale,4.0,,,,Gravatá,Cruzeiro,340000.0
199,For sale,2.0,46.0,,0.0,Recife,Torreão,287900.0
200,For sale,2.0,47.0,,,Igarassu,Agamenon Magalhães,120000.0
