Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
170,For sale,3.0,140.0,3.0,0.0,Recife,Madalena,800000.0
171,For sale,4.0,270.0,2.0,1500.0,Recife,Boa Viagem,1290000.0
172,For sale,2.0,105.0,2.0,780.0,Jaboatão dos Guararapes,Piedade,550000.0
173,For sale,3.0,75.0,0,260.0,Jaboatão dos Guararapes,Piedade,200000.0
174,For sale,2.0,0.0,0,0.0,Recife,Dois Unidos,80000.0
175,For sale,3.0,100.0,3.0,0.0,Recife,Jardim São Paulo,330000.0
176,For sale,4.0,360.0,4.0,0.0,Recife,Boa Viagem,6500000.0
177,For sale,4.0,134.0,2.0,0.0,Recife,Poço,849999.0
178,For sale,3.0,120.0,0,0.0,Recife,Santo Amaro,245000.0
179,For sale,2.0,62.0,0,500.0,Recife,Madalena,360000.0
180,For sale,3.0,93.0,0,650.0,Recife,Graças,310000.0
181,For sale,4.0,208.0,3.0,933.0,Recife,Parnamirim,2100000.0
182,For sale,4.0,120.0,2.0,0.0,Recife,Jaqueira,1459000.0
183,For sale,4.0,150.0,3.0,0.0,Recife,Casa Forte,920000.0
184,For sale,4.0,238.0,4.0,2200.0,Recife,Poço,1400000.0
185,For sale,3.0,70.0,0,0.0,Olinda,Fragoso,146000.0
186,For sale,2.0,45.0,0,0.0,Recife,Boa Vista,346500.0
187,For sale,3.0,87.0,2.0,0.0,Recife,Poço,790000.0
188,For sale,2.0,70.0,0,0.0,Recife,Pina,390000.0
189,For sale,2.0,60.0,0,550.0,Recife,Boa Viagem,360000.0
190,For sale,2.0,59.0,0,640.0,Olinda,Casa Caiada,360000.0
191,For sale,2.0,50.0,0,560.0,Recife,Madalena,380000.0
192,For sale,3.0,68.0,2.0,0.0,Recife,Boa Vista,523000.0
193,For sale,4.0,280.0,3.0,2000.0,Recife,Rosarinho,1500000.0
194,For sale,3.0,59.0,0,0.0,Recife,Madalena,359999.0
195,For sale,3.0,57.0,0,300.0,Recife,Encruzilhada,340000.0
196,For sale,2.0,57.0,0,400.0,Recife,Casa Amarela,321000.0
197,For sale,4.0,198.0,3.0,1200.0,Recife,Torre,1400000.0
198,For sale,3.0,95.0,0,703.0,Recife,Madalena,280000.0
199,For sale,3.0,75.0,0,415.0,Olinda,Casa Caiada,240000.0
200,For sale,4.0,201.0,3.0,1550.0,Recife,Aflitos,1105000.0
201,For sale,4.0,180.0,2.0,1200.0,Recife,Boa Vista,500000.0
202,For sale,4.0,250.0,3.0,2360.0,Recife,Boa Viagem,1300000.0
203,For sale,2.0,45.0,0,290.0,Jaboatão dos Guararapes,Candeias,195000.0
204,For sale,4.0,190.0,3.0,1000.0,Recife,Torreão,1350000.0
205,For sale,2.0,63.0,0,565.0,Jaboatão dos Guararapes,Piedade,400000.0
